zpid,statusType,statusText,CountryCurrency,price,badgeInfo,list,beds
5336782189,FOR_SALE,House for sale,$,$600000,forsale,FALSE,5
3444847889,FOR_SALE,House for sale,$,$440000,Null,TRUE,3
77585785,FOR_SALE,New,$,$550000,forsale,FALSE,4
999898776,FOR_SALE,Active,$,$220000,Null,TRUE,3
22766566,FOR_SALE,Land for sale,$,$4500000,For sale,FALSE,2
5667788,FOR_SALE,Land for sale,$,$880000,Forsale,TRUE,2
23434456,FOR_SALE,Land for sale,$,$4500000,Null,FALSE,5
112766566,FOR_SALE,House for sale,$,$4230000,Forsale,TRUE,7
748378846,FOR_SALE,New,$,$33078789,Null,FALSE,4
564876872,FOR_SALE,House for sale,$,$7493789,Forsale,TRUE,3
884938394,FOR_SALE,Active,$,$6876878,Null,FALSE,4
5336782189,FOR_SALE,House for sale,$,$600000,forsale,FALSE,5
3444847889,FOR_SALE,House for sale,$,$440000,Null,TRUE,3
77585785,FOR_SALE,New,$,$550000,forsale,FALSE,4
999898776,FOR_SALE,Active,$,$220000,Null,TRUE,3
22766566,FOR_SALE,Land for sale,$,$4500000,For sale,FALSE,2
5667788,FOR_SALE,Land for sale,$,$880000,Forsale,TRUE,2
23434456,FOR_SALE,Land for sale,$,$4500000,Null,FALSE,5
112766566,FOR_SALE,House for sale,$,$4230000,Forsale,TRUE,7
748378846,FOR_SALE,New,$,$33078789,Null,FALSE,4
564876872,FOR_SALE,House for sale,$,$7493789,Forsale,TRUE,3
884938394,FOR_SALE,Active,$,$6876878,Null,FALSE,4
5336782189,FOR_SALE,House for sale,$,$600000,forsale,FALSE,5
3444847889,FOR_SALE,House for sale,$,$440000,Null,TRUE,3
77585785,FOR_SALE,New,$,$550000,forsale,FALSE,4
999898776,FOR_SALE,Active,$,$220000,Null,TRUE,3
22766566,FOR_SALE,Land for sale,$,$4500000,For sale,FALSE,2
5667788,FOR_SALE,Land for sale,$,$880000,Forsale,TRUE,2
23434456,FOR_SALE,Land for sale,$,$4500000,Null,FALSE,5
112766566,FOR_SALE,House for sale,$,$4230000,Forsale,TRUE,7
748378846,FOR_SALE,New,$,$33078789,Null,FALSE,4
564876872,FOR_SALE,House for sale,$,$7493789,Forsale,TRUE,3
884938394,FOR_SALE,Active,$,$6876878,Null,FALSE,4
5336782189,FOR_SALE,House for sale,$,$600000,forsale,FALSE,5
3444847889,FOR_SALE,House for sale,$,$440000,Null,TRUE,3
77585785,FOR_SALE,New,$,$550000,forsale,FALSE,4
999898776,FOR_SALE,Active,$,$220000,Null,TRUE,3
22766566,FOR_SALE,Land for sale,$,$4500000,For sale,FALSE,2
5667788,FOR_SALE,Land for sale,$,$880000,Forsale,TRUE,2
23434456,FOR_SALE,Land for sale,$,$4500000,Null,FALSE,5
112766566,FOR_SALE,House for sale,$,$4230000,Forsale,TRUE,7
748378846,FOR_SALE,New,$,$33078789,Null,FALSE,4
564876872,FOR_SALE,House for sale,$,$7493789,Forsale,TRUE,3
884938394,FOR_SALE,Active,$,$6876878,Null,FALSE,4
